id,msg,sentiment,probability,timestamp
1,hola,Positive,0.92,2024-01-19 04:36:00
2,worst,Positive,0.93,2024-01-19 04:36:05
3,bad,Positive,0.62,2024-01-19 04:36:09
4,good,Positive,0.52,2024-01-19 04:36:18
5,best,Negative,0.93,2024-01-19 04:36:26
6,hell,Positive,0.69,2024-01-19 04:36:31
7,good,Negative,0.89,2024-01-19 04:37:17
8,good,Negative,0.88,2024-01-19 04:37:26
9,good,Negative,21.99999988079071,2024-01-19 04:37:45
10,bad,Negative,20.999999344348907,2024-01-19 04:37:50
11,hell,Negative,20.999999344348907,2024-01-19 04:37:57
12,worst,Negative,18.99999976158142,2024-01-19 04:38:02
13,What the hell management is doing?,Negative,20.999999344348907,2024-01-19 04:38:23
14,such a best good movie I have ever seen,Positive,86.00000143051147,2024-01-19 04:38:38
15,omg! i hate this movie,Negative,20.999999344348907,2024-01-19 04:38:50
16,will definitely give this movie a try.,Negative,30.000001192092896,2024-01-19 04:39:04
17,such a good movie that will watch again,Negative,34.99999940395355,2024-01-19 04:39:19
18,i loved the movie so much. Literally the best movie i have ever seen,Positive,93.00000071525574,2024-01-19 04:39:51
19,Such a good movie,Negative,27.000001072883606,2024-01-19 04:46:28
20,Such a good movie,Negative,27.000001072883606,2024-01-19 04:46:46
21,This is such a good movie that I loved it. Will surely watch it again.,Positive,68.99999976158142,2024-01-19 04:47:09
22,"I hate this movie so much. Bad, will never ever watch this again.",Negative,9.000000357627869,2024-01-19 04:47:39
23,Such a shitty movie. I won't recommend this to anyone fr.,Negative,25.999999046325684,2024-01-19 05:11:22
24,OMG! I loved the movie so much. Best I have ever seen,Positive,89.99999761581421,2024-01-19 05:11:42
